21270020	DEUTDEHH212	Deutsche Bank
21270024	DEUTDEDB212	Deutsche Bank
21280002	DRESDEFF212	Commerzbank vormals Dresdner Bank
21290016	GENODEF1NMS	VR Bank Neumünster -alt-
21340010	COBADEFFXXX	Commerzbank
21352240	NOLADE21HOL	Sparkasse Holstein
21390008	GENODEF1NSH	VR Bank zwischen den Meeren
21392218	GENODEF1EUT	Volksbank Eutin Raiffeisenbank
21440045	COBADEFFXXX	Commerzbank
21450000	NOLADE21RDB	Sparkasse Mittelholstein
21451205	NOLADE21BDF	Sparkasse Büdelsdorf -alt-
21452030	NOLADE21HWS	Sparkasse Hohenwestedt -alt-
21463603	GENODEF1NTO	Volksbank-Raiffeisenbank im Kreis Rendsburg -alt-
21464671	GENODEF1TOB	Raiffeisenbank
21480003	DRESDEFF214	Commerzbank vormals Dresdner Bank
21510600	SYBKDE22XXX	Sydbank Filiale Flensburg
21520100	UNBNDE21XXX	Union-Bank Flensburg
21540060	COBADEFFXXX	Commerzbank
21565316	GENODEF1HDW	Raiffeisenbank -alt-
21570011	DEUTDEHH215	Deutsche Bank
21570024	DEUTDEDB215	Deutsche Bank
21570202	DEUTDEHHP01	Postbank/DSL Ndl der Deutsche Bank
21570224	DEUTDEDBP01	Postbank/DSL Ndl der Deutsche Bank
21580000	DRESDEFF215	Commerzbank vormals Dresdner Bank
21661719	GENODEF1RSL	VR Bank Flensburg-Schleswig -alt-
21690020	GENODEF1SLW	VR Bank Schleswig-Mittelholstein -alt-
21740043	COBADEFFXXX	Commerzbank
21741674	COBADEFFXXX	Commerzbank
21741825	COBADEFFXXX	Commerzbank
21750000	NOLADE21NOS	Nord-Ostsee Sparkasse
21751230	NOLADE21BRD	Spar- und Leihkasse zu Bredstedt -alt-
21762550	GENODEF1HUM	VR Bank Schleswig-Holstein Mitte
21763542	GENODEF1BDS	VR Bank Nord
21770011	DEUTDEHH217	Deutsche Bank
21770024	DEUTDEDB217	Deutsche Bank
21791805	GENODEF1SYL	Sylter Bank
21791906	GENODEF1WYK	Vereinigte VR Bank
21840078	COBADEFFXXX	Commerzbank
21841328	COBADEFFXXX	Commerzbank
21852310	NOLADE21WEB	Sparkasse Hennstedt-Wesselburen -alt-
21860418	GENODEF1RHE	Raiffeisenbank Heide -alt-
21890022	GENODEF1DVR	Dithmarscher Volks- und Raiffeisenbank
22140028	COBADEFFXXX	Commerzbank
22141028	COBADEFFXXX	Commerzbank
22141428	COBADEFFXXX	Commerzbank
22141628	COBADEFFXXX	Commerzbank
22150000	NOLADE21ELH	Sparkasse Elmshorn
22151730	NOLADE21WED	Stadtsparkasse Wedel
22163114	GENODEF1HTE	Raiffeisenbank Elbmarsch
22180000	DRESDEFF221	Commerzbank vormals Dresdner Bank
22181400	DRESDEFF206	Commerzbank vormals Dresdner Bank
22190030	GENODEF1ELM	Volksbank Elmshorn -alt-
22191405	GENODEF1PIN	VR Bank in Holstein
22240073	COBADEFFXXX	Commerzbank
22250020	NOLADE21WHO	Sparkasse Westholstein
22280000	DRESDEFF201	Commerzbank vormals Dresdner Bank
22290031	GENODEF1VIT	VR Itzehoe Norderstedt Hohenwestedt -alt-
23040022	COBADEFFXXX	Commerzbank
23050101	NOLADE21SPL	Sparkasse zu Lübeck
23051030	NOLADE21SHO	Sparkasse Südholstein
23052750	NOLADE21RZB	Kreissparkasse Herzogtum Lauenburg
23061220	GENODEF1LZN	Raiffeisenbank Leezen
23062124	GENODEF1BAR	Raiffeisenbank -alt-
23063129	GENODEF1RLB	Raiffeisenbank
23064107	GENODEF1BCH	Raiffeisenbank -alt-
23070203	DEUTDEHHP02	Postbank/DSL Ndl der Deutsche Bank
23070224	DEUTDEDBP02	Postbank/DSL Ndl der Deutsche Bank
23070700	DEUTDEDB237	Deutsche Bank
23070710	DEUTDEHH222	Deutsche Bank
23080040	DRESDEFF230	Commerzbank vormals Dresdner Bank
23089201	DRESDEFFI08	Commerzbank vormals Dresdner Bank ITGK
